          Name    4-char code  Latitude     Longitude   Elevation(m)
           KONZA_EDC  0291     39.102328    -96.609600    341.000000
     Roosevelt_Roads  0292     18.212336    -65.599456     10.000000
       Puerto_Madryn  0293    -42.790000    -65.010000     15.000000
              Modena  0294     44.631667     10.945278     56.000000
         La_Parguera  0295     17.970450    -67.045383     12.400000
          Rio_Branco  0296     -9.957467    -67.869350    212.000000
           Lampedusa  0297     35.516667     12.631667     45.000000
          Maun_Tower  0298    -19.900000     23.550000    951.000000
               Ndola  0299    -12.995000     28.658333   1270.000000
             Solwezi  0300    -12.170667     26.363333   1390.000000
    Cairo_University  0301     30.026167     31.207317     50.000000
             Sua_Pan  0302    -20.533333     26.066667    900.000000
          Swakopmund  0303    -22.657850     14.564033     49.000000
                GISS  0304     40.797700    -73.959900     50.000000
          Etosha_Pan  0305    -19.175017     15.914383   1131.000000
          Mwinilunga  0306    -11.740000     24.430667   1375.000000
         Pietersburg  0307    -23.883333     29.450000   1249.000000
               Kaoma  0308    -14.792667     24.794833   1179.000000
    SKUKUZA_AEROPORT  0309    -24.969000     31.593000    293.000000
               Osaka  0310     34.650933    135.590633     50.000000
            Bucarest  0311     44.450000     26.525000     44.000000
           Shirahama  0312     33.693450    135.356917     10.000000
    BSRN_BAO_Boulder  0313     40.045183   -105.006033   1604.000000
              Kanpur  0314     26.512778     80.231639    123.000000
       Midway_Island  0315     28.209833   -177.378333     20.000000
           Billerica  0316     42.528347    -71.268619     82.000000
       Moscow_MSU_MO  0317     55.706947     37.522019    192.000000
               Minsk  0318     53.920000     27.601000    235.000000
             Beijing  0319     39.976890    116.381370     92.000000
               NUIST  0320     32.206483    118.717150     62.000000
              Ningbo  0321     29.859945    121.546872     37.000000
           Qiandaohu  0322     29.555717    119.052633    133.000000
         Shanghi_Met  0323     31.221383    121.548517      5.000000
     Shanghi_Minhang  0324     31.130450    121.397340     49.000000
               Perth  0325    -32.008056    115.893611     14.000000
             Kelowna  0326     49.955333   -119.373000    344.000000
          CEILAP-UTN  0327    -34.659722    -58.468611     27.000000
           New_Delhi  0328     28.630467     77.175100    240.000000
             Okinawa  0329     26.356667    127.768333     46.000000
              Kuopio  0330     62.892414     27.633606    105.000000
             Agoufou  0331     15.345400     -1.479117    305.000000
           Sao_Paulo  0332    -23.561500    -46.734983    786.000000
           MPI_Mainz  0333     49.992000      8.237500    147.000000
           Seoul_SNU  0334     37.458056    126.951111    116.000000
             Angiola  0335     35.947000   -119.538000     43.000000
           Gerlitzen  0336     46.678333     13.906667   1900.000000
           Al_Dhafra  0337     24.254278     54.549667     40.000000
     SteamboatSpring  0338     40.404867   -106.807117   2120.000000
    Rome_Tor_Vergata  0339     41.839550     12.647333    130.000000
                SMHI  0340     58.580000     16.150000     33.000000
     Rottnest_Island  0341    -32.000103    115.501667     11.000000
               THALA  0342     35.550000      8.683333   1091.000000
           Gosan_SNU  0343     33.292222    126.161667     72.000000
      CUIABA-MIRANDA  0344    -15.730910    -56.070860    210.000000
             XiangHe  0345     39.753600    116.961500     36.000000
             Orizaba  0346     19.106111    -97.324167   3246.000000
            Dunhuang  0347     40.038380     94.794000   1381.000000
            Bragansa  0348     -0.834000    -46.641000     55.000000
                Noto  0349     37.334444    137.136944    200.000000
             Leipzig  0350     51.352500     12.435278    125.000000
      Inner_Mongolia  0351     42.683190    115.953700   1343.000000
       Lan_Yu_Island  0352     22.037306    121.558111    348.000000
               Yulin  0353     38.283333    109.716667   1080.000000
            BORDEAUX  0354     44.788028     -0.579167     40.000000
